"use_area","user_nights","group_nights","people","permits","first_nights","last_nights","stock","stock_unights"
"AA9",36,14,28,10,10,7,0,0
"AB0",109,30,70,22,18,17,0,0
"AB9",58,18,44,13,10,11,0,0
"AC9",253,77,120,39,34,36,0,0
"AD9",76,15,44,10,4,3,0,0
"AE9",777,222,218,71,59,58,0,0
"AF9",188,83,81,36,10,10,0,0
"AG9",85,43,61,31,11,6,0,0
"AH9",45,23,35,17,3,2,0,0
"AJ9",29,12,15,7,2,1,0,0
"AK9",769,287,404,156,61,48,0,0
"AM9",358,87,189,52,20,24,0,0
"AN9",15,6,11,5,3,3,0,0
"AP9",184,78,91,36,20,22,0,0
"AQ9",70,35,35,17,5,3,0,0
"AR9",118,50,55,22,8,13,0,0
"AS9",300,92,113,38,18,27,0,0
"AT9",50,18,27,11,2,6,0,0
"AU9",99,34,40,16,4,2,0,0
"AV9",55,14,38,10,2,2,0,0
"AW7",567,145,444,115,65,21,0,0
"AW8",251,70,237,66,11,5,0,0
"AX7",553,138,431,113,29,29,0,0
"AY9",588,158,424,113,55,102,0,0
"AZ9",73,22,45,14,10,6,0,0
"BA9",516,204,294,119,41,32,0,0
"BB9",1325,444,1034,345,293,129,0,0
"BC9",1000,316,813,265,49,24,0,0
"BD9",1049,329,884,279,87,110,0,0
"BE9",943,299,849,267,70,137,0,0
"BF5",895,271,723,218,109,184,0,0
"BG9",749,246,600,201,95,86,0,0
"BH9",417,149,352,128,23,15,0,0
"BJ9",589,198,498,170,70,79,0,0
"BL4",429,134,406,125,61,42,0,0
"BL5",267,90,231,84,18,16,0,0
"BL6",83,31,80,30,9,8,0,0
"BL7",1396,403,1140,340,129,99,0,0
"BL8",579,169,525,154,40,27,0,0
"BM7",1527,461,1269,384,225,218,0,0
"BM8",527,168,475,154,81,47,0,0
"BN9",939,314,565,202,117,113,0,0
"BO9",137,57,87,37,4,10,0,0
"BP9",43,28,36,21,5,2,0,0
"BQ9",110,44,81,31,7,15,0,0
"BR9",195,69,77,30,13,7,0,0
"BT9",92,18,51,10,4,3,0,0
"BU9",10,5,4,2,0,2,0,0
"CBG",12772,4100,8992,2966,2386,1675,10,15
"CCG",4686,1612,3171,1069,628,368,1,4
"CIG",9326,2759,6996,2177,791,1982,0,0
"LA9",408,128,139,43,19,30,0,0
"LB9",394,115,137,41,23,29,0,0
"LC9",202,57,96,27,12,16,0,0
"LE9",46,12,26,7,6,4,0,0
"LF9",26,15,12,6,1,3,0,0
"LG9",7,5,6,4,0,0,0,0
"LH9",11,8,6,4,2,1,0,0
"LI9",10,5,4,2,1,1,0,0
"LJ9",74,26,23,8,4,5,0,0
"LK9",98,23,50,12,8,8,0,0
"LL9",24,10,11,5,2,2,0,0
"LM9",16,6,7,3,3,2,0,0
"NA0",16,7,7,4,3,3,0,0
"NA1",83,35,69,28,22,20,0,0
"NB9",16,8,6,3,3,2,0,0
"NC9",17,10,13,8,3,4,0,0
"NCG",221,108,200,94,45,25,0,0
"ND9",8,5,5,3,1,1,0,0
"NF9",50,29,47,27,24,18,0,0
"NG9",37,16,26,11,6,6,0,0
"NH1",414,126,292,93,84,79,0,0
"NJ0",49,23,23,11,7,6,0,0
"NJ2",222,68,163,51,38,29,0,0
"NK9",94,24,71,19,15,5,0,0
"NL9",40,16,30,12,10,4,0,0
"NM9",6,2,6,2,0,2,0,0
"NN9",10,3,10,3,0,3,0,0
"NRH",76,21,22,6,6,5,22,76
"SA9",46,15,40,13,11,13,0,0
"SB9",2,1,2,1,1,0,0,0
"SC9",8,3,8,3,3,2,0,0
"SE0",8,4,7,3,3,1,0,0
"SE1",2,1,2,1,0,1,0,0
"SE2",2,1,2,1,0,0,0,0
"SE3",39,18,29,14,12,8,0,0
"SF9",13,3,8,2,1,1,0,0
"SG9",6,3,5,2,0,0,0,0
"SH9",21,4,18,3,2,2,0,0
"SI9",31,5,14,2,2,1,0,0
"TCG",1542,548,894,319,311,300,0,0
"XXC",22,10,13,5,3,4,0,0
"XXT",2,1,2,1,1,1,0,0
